distortion,cluster,LRR_to_dist_F,LRR_to_dist_p,LRR_to_dist_sig,dist_to_LRR_F,dist_to_LRR_p,dist_to_LRR_sig,lrr_correlation
dichotoreasoning,Herd_Cognitive_Bias,44.4749,0.0,***,9.1667,0.0,***,-0.1431
labeling,Overconfidence_Ego,12.7164,0.0,***,1.2621,0.283,,0.014
magnification,Overconfidence_Ego,6.8349,0.0,***,6.7514,0.0,***,-0.0831
mindreading,Herd_Cognitive_Bias,25.2532,0.0,***,3.8302,0.0506,,0.0059
overgeneralizing,Herd_Cognitive_Bias,9.015,0.0,***,43.0584,0.0,***,-0.1259
shouldment,Overconfidence_Ego,8.0679,0.0,***,54.8572,0.0,***,-0.0426
negativereasoning,Fear_Catastrophising,0.6644,0.6168,,2.0028,0.0919,,-0.0991
catastrophizing,Other,,,,,,,
emotionreasoning,Other,,,,,,,
fortunetelling,Other,,,,,,,
mentalfiltering,Other,,,,,,,
personalizing,Other,,,,,,,
mentalfilteringplus,Other,,,,,,,
disqualpositive,Other,,,,,,,
