distortion,cluster,LRR_to_dist_F,LRR_to_dist_p,LRR_to_dist_sig,dist_to_LRR_F,dist_to_LRR_p,dist_to_LRR_sig,lrr_correlation
dichotoreasoning,Herd_Cognitive_Bias,44.6157,0.0,***,9.1334,0.0,***,-0.1434
labeling,Overconfidence_Ego,12.7,0.0,***,1.2321,0.2954,,0.0136
magnification,Overconfidence_Ego,6.8549,0.0,***,6.7298,0.0,***,-0.0831
mindreading,Herd_Cognitive_Bias,25.3159,0.0,***,3.88,0.0491,*,0.0053
overgeneralizing,Herd_Cognitive_Bias,9.1646,0.0,***,42.4812,0.0,***,-0.126
shouldment,Overconfidence_Ego,8.0699,0.0,***,55.1175,0.0,***,-0.0431
negativereasoning,Fear_Catastrophising,0.6721,0.6114,,2.0137,0.0903,,-0.0995
catastrophizing,Other,,,,,,,
emotionreasoning,Other,,,,,,,
fortunetelling,Other,,,,,,,
mentalfiltering,Other,,,,,,,
personalizing,Other,,,,,,,
mentalfilteringplus,Other,,,,,,,
disqualpositive,Other,,,,,,,
